,,,n,0.00,365.00,1.00,2.00,730.00,3.00,7.00,367.00,14.00,366.00,368.00,6.00,363.00,4.00,19.00,12.00,362.00,28.00,13.00,17.00
,,,a_n,117.34,2.70,-6.08,-7.50,-4.85,3.89,-3.26,-3.37,-3.44,-0.34,2.29,-3.13,1.15,-2.29,2.05,2.81,0.70,-0.37,-1.37,-1.68
,,,b_n,0.00,-13.21,6.80,3.06,-1.90,3.44,-3.04,2.77,-1.82,3.82,-2.90,1.93,3.16,-1.97,-2.04,0.14,-2.61,-2.52,1.93,1.38
,,,amplitude,117.34,13.48,9.13,8.10,5.20,5.20,4.46,4.36,3.89,3.84,3.69,3.67,3.36,3.02,2.90,2.81,2.70,2.54,2.37,2.17
,,,,,,,,,,,,,,,,,,,,,,,
N,Hour,DateTime,Pt,A0,A_Ns,,,,,,,,,,,,,,,,,,
26,2,1/2/25 2:00,89.95,117.34,-4.269103032,-5.95590817,-7.383723771,-4.066658712,4.079803277,-3.630474917,-1.380793164,-3.791042111,1.682825189,0.325125367,-2.891119314,2.491550941,-2.428316646,1.215697202,2.769241542,-0.550208998,-1.57522758,-0.866057371,-1.165128965
27,3,1/2/25 3:00,89.74,117.34,-7.43300003,-5.950947097,-7.378930117,-1.898095697,4.086725312,-3.643431151,-0.256150441,-3.79955956,2.520728085,-0.645971146,-2.881331882,2.987303109,-2.433462118,1.179748821,2.764974037,-1.210023582,-1.615022119,-0.845443512,-1.142679436
28,4,1/2/25 4:00,90.32,117.34,-10.09035036,-5.945982963,-7.374121279,0.779060527,4.093628425,-3.65629554,0.886139227,-3.807693887,3.185910379,-1.572323395,-2.871491086,3.281687823,-2.438587558,1.14358134,2.760501697,-1.788719421,-1.654165283,-0.824756148,-1.120060018
29,5,1/2/25 5:00,91.11,117.34,-12.06005999,-5.94101577,-7.369297266,3.247468112,4.100512584,-3.66906776,1.967380198,-3.815444271,3.632793696,-2.389766054,-2.861597108,3.354861263,-2.443692926,1.107201477,2.755824855,-2.247501334,-1.692641284,-0.803997076,-1.097274071
30,6,1/2/25 6:00,91.56,117.34,-13.20789646,-5.936045521,-7.364458088,4.845719239,4.107377757,-3.681747488,2.91308265,-3.822809932,3.830757536,-3.0416776,-2.851650132,3.201890971,-2.448778179,1.070615987,2.750943857,-2.555613052,-1.730434604,-0.783168103,-1.074324986
31,7,1/2/25 7:00,91.31,117.34,-13.45563661,-5.931072217,-7.359603755,5.145563809,4.114223913,-3.694334404,3.658094403,-3.829790126,3.766237392,-3.482902298,-2.841650342,2.833088334,-2.453843275,1.033831665,2.745859063,-2.692399079,-1.76753,-0.762271039,-1.051216173
32,8,1/2/25 8:00,90.33,117.34,-12.78639737,-5.926095863,-7.354734277,4.066658712,4.121051019,-3.706828192,4.151089441,-3.83638415,3.443654193,-3.682877987,-2.831597923,2.273313517,-2.458888173,0.996855344,2.740570852,-2.648689419,-1.803912511,-0.7413077,-1.027951068
33,9,1/2/25 9:00,88.88,117.34,-11.24578627,-5.921116459,-7.349849665,1.898095697,4.127859044,-3.719228537,4.358103906,-3.842591339,2.885111379,-3.627753018,-2.821493061,1.560299694,-2.463912831,0.959693889,2.735079614,-2.427414323,-1.839567461,-0.72027991,-1.004533131
34,10,1/2/25 10:00,87.50,117.34,-8.938793425,-5.91613401,-7.344949927,-0.779060527,4.134647956,-3.731535125,4.264875975,-3.848411066,2.128880373,-3.321345714,-2.811335944,0.742109542,-2.468917207,0.922354202,2.729385757,-2.043407848,-1.874480472,-0.699189496,-0.980965842
35,11,1/2/25 11:00,86.82,117.34,-6.02263658,-5.911148517,-7.340035075,-3.247468112,4.141417724,-3.743747647,3.877828388,-3.853842746,1.226778219,-2.784879885,-2.80112676,-0.126104563,-2.473901261,0.884843219,2.723489702,-1.522413396,-1.908637462,-0.678038293,-0.957252706
